Month_index,Predicted_PD,Year_Quarter,PD_Risk_Rating
217,0.000002,888888,8
218,0.000002,888888,8
219,0.000002,888888,8
220,0.000002,888888,8
221,0.000002,888888,8
222,0.000002,888888,8
223,0.000002,888888,8
224,0.000002,888888,8
225,0.000002,888888,8
226,0.000002,888888,8
227,0.000002,888888,8
228,0.000002,888888,8
229,0.000002,888888,8
230,0.000002,888888,8
231,0.000002,888888,8
232,0.000002,888888,8
233,0.000002,888888,8
234,0.000002,888888,8
235,0.000002,888888,8
236,0.000002,888888,8
237,0.000002,888888,8
238,0.000002,888888,8
239,0.000002,888888,8
240,0.000002,888888,8
241,0.000002,888888,8
242,0.000002,888888,8
243,0.000002,888888,8
244,0.000002,888888,8
245,0.000002,888888,8
246,0.000002,888888,8
247,0.000002,888888,8
248,0.000002,888888,8
249,0.000002,888888,8
250,0.000002,888888,8
251,0.000002,888888,8
252,0.000002,888888,8
253,0.000002,888888,8
254,0.000002,888888,8
255,0.000002,888888,8
256,0.000002,888888,8
257,0.000002,888888,8
258,0.000002,888888,8
259,0.000002,888888,8
260,0.000002,888888,8
261,0.000002,888888,8
262,0.000002,888888,8
263,0.000002,888888,8
264,0.000002,888888,8
265,0.000002,888888,8
266,0.000002,888888,8
267,0.000002,888888,8
268,0.000002,888888,8
269,0.000002,888888,8
270,0.000002,888888,8
271,0.000002,888888,8
272,0.000002,888888,8
273,0.000002,888888,8
274,0.000002,888888,8
275,0.000002,888888,8
276,0.000002,888888,8
277,0.000002,888888,8
278,0.000002,888888,8
279,0.000002,888888,8
280,0.000002,888888,8
281,0.000002,888888,8
282,0.000002,888888,8
283,0.000002,888888,8
284,0.000002,888888,8
285,0.000002,888888,8
286,0.000002,888888,8
287,0.000002,888888,8
288,0.000002,888888,8
289,0.000002,888888,8
290,0.000002,888888,8
291,0.000002,888888,8
292,0.000002,888888,8
293,0.000002,888888,8
294,0.000002,888888,8
295,0.000002,888888,8
296,0.000002,888888,8
297,0.000002,888888,8
298,0.000002,888888,8
299,0.000002,888888,8
300,0.000002,888888,8
301,0.000002,888888,8
302,0.000002,888888,8
303,0.000002,888888,8
304,0.000002,888888,8
305,0.000002,888888,8
306,0.000002,888888,8
307,0.000002,888888,8
308,0.000002,888888,8
309,0.000002,888888,8
310,0.000002,888888,8
311,0.000002,888888,8
312,0.000002,888888,8
313,0.000002,888888,8
314,0.000002,888888,8
315,0.000002,888888,8
316,0.000002,888888,8
317,0.000002,888888,8
318,0.000002,888888,8
319,0.000002,888888,8
320,0.000002,888888,8
321,0.000002,888888,8
322,0.000002,888888,8
323,0.000002,888888,8
324,0.000002,888888,8
325,0.000002,888888,8
326,0.000002,888888,8
327,0.000002,888888,8
328,0.000002,888888,8
329,0.000002,888888,8
330,0.000002,888888,8
331,0.000002,888888,8
332,0.000002,888888,8
333,0.000002,888888,8
334,0.000002,888888,8
335,0.000002,888888,8
336,0.000002,888888,8
337,0.000002,888888,8
338,0.000002,888888,8
339,0.000002,888888,8
340,0.000002,888888,8
341,0.000002,888888,8
342,0.000002,888888,8
343,0.000002,888888,8
344,0.000002,888888,8
345,0.000002,888888,8
346,0.000002,888888,8
347,0.000002,888888,8
348,0.000002,888888,8
349,0.000002,888888,8
350,0.000002,888888,8
351,0.000002,888888,8
352,0.000002,888888,8
353,0.000002,888888,8
354,0.000002,888888,8
355,0.000002,888888,8
356,0.000002,888888,8
357,0.000002,888888,8
358,0.000002,888888,8
359,0.000002,888888,8
360,0.000002,888888,8
361,0.000002,888888,8
362,0.000002,888888,8
363,0.000002,888888,8
364,0.000002,888888,8
365,0.000002,888888,8
366,0.000002,888888,8
367,0.000002,888888,8
368,0.000002,888888,8
369,0.000002,888888,8
370,0.000002,888888,8
371,0.000002,888888,8
372,0.000002,888888,8
373,0.000002,888888,8
374,0.000002,888888,8
375,0.000002,888888,8
376,0.000002,888888,8
377,0.000002,888888,8
378,0.000002,888888,8
379,0.000002,888888,8
380,0.000002,888888,8
381,0.000002,888888,8
382,0.000002,888888,8
383,0.000002,888888,8
384,0.000002,888888,8
385,0.000002,888888,8
386,0.000002,888888,8
387,0.000002,888888,8
388,0.000002,888888,8
389,0.000002,888888,8
390,0.000002,888888,8
391,0.000002,888888,8
392,0.000002,888888,8
393,0.000002,888888,8
394,0.000002,888888,8
395,0.000002,888888,8
396,0.000002,888888,8
397,0.000002,888888,8
398,0.000002,888888,8
399,0.000002,888888,8
400,0.000002,888888,8
401,0.000002,888888,8
402,0.000002,888888,8
403,0.000002,888888,8
404,0.000002,888888,8
405,0.000002,888888,8
406,0.000002,888888,8
407,0.000002,888888,8
408,0.000002,888888,8
409,0.000002,888888,8
410,0.000002,888888,8
411,0.000002,888888,8
412,0.000002,888888,8
413,0.000002,888888,8
414,0.000002,888888,8
415,0.000002,888888,8
416,0.000002,888888,8
417,0.000002,888888,8
418,0.000002,888888,8
419,0.000002,888888,8
420,0.000002,888888,8
421,0.000002,888888,8
422,0.000002,888888,8
423,0.000002,888888,8
424,0.000002,888888,8
425,0.000002,888888,8
426,0.000002,888888,8
427,0.000002,888888,8
428,0.000002,888888,8
429,0.000002,888888,8
430,0.000002,888888,8
431,0.000002,888888,8
432,0.000002,888888,8
433,0.000002,888888,8
434,0.000002,888888,8
435,0.000002,888888,8
436,0.000002,888888,8
437,0.000002,888888,8
438,0.000002,888888,8
439,0.000002,888888,8
440,0.000002,888888,8
441,0.000002,888888,8
442,0.000002,888888,8
443,0.000002,888888,8
444,0.000002,888888,8
445,0.000002,888888,8
446,0.000002,888888,8
447,0.000002,888888,8
448,0.000002,888888,8
449,0.000002,888888,8
450,0.000002,888888,8
451,0.000002,888888,8
452,0.000002,888888,8
453,0.000002,888888,8
454,0.000002,888888,8
455,0.000002,888888,8
456,0.000002,888888,8
457,0.000002,888888,8
458,0.000002,888888,8
459,0.000002,888888,8
460,0.000002,888888,8
461,0.000002,888888,8
462,0.000002,888888,8
463,0.000002,888888,8
464,0.000002,888888,8
465,0.000002,888888,8
466,0.000002,888888,8
467,0.000002,888888,8
468,0.000002,888888,8
469,0.000002,888888,8
470,0.000002,888888,8
471,0.000002,888888,8
472,0.000002,888888,8
473,0.000002,888888,8
474,0.000002,888888,8
475,0.000002,888888,8
476,0.000002,888888,8
477,0.000002,888888,8
478,0.000002,888888,8
479,0.000002,888888,8
480,0.000002,888888,8
481,0.000002,888888,8
1,0.0001546828,888888,7
2,0.0001546828,888888,7
3,0.0001546828,888888,7
4,0.000280556,888888,7
5,0.000280556,888888,7
6,0.000280556,888888,7
7,0.0002038537,888888,7
8,0.0002038537,888888,7
9,0.0002038537,888888,7
10,0.0003535121,888888,7
11,0.0003535121,888888,7
12,0.0003535121,888888,7
13,0.0007802484,888888,7
14,0.0007802484,888888,7
15,0.0007802484,888888,7
16,0.0005478794,888888,7
17,0.0005478794,888888,7
18,0.0005478794,888888,7
19,0.0006327632,888888,7
20,0.0006327632,888888,7
21,0.0006327632,888888,7
22,0.0004550975,888888,7
23,0.0004550975,888888,7
24,0.0004550975,888888,7
25,0.0030611512,888888,7
26,0.0030611512,888888,7
27,0.0030611512,888888,7
28,0.002982248,888888,7
29,0.002982248,888888,7
30,0.002982248,888888,7
31,0.0006826638,888888,7
32,0.0006826638,888888,7
33,0.0006826638,888888,7
34,0.0014064074,888888,7
35,0.0014064074,888888,7
36,0.0014064074,888888,7
37,0.0006778197,888888,7
38,0.0006778197,888888,7
39,0.0006778197,888888,7
40,0.0005503765,888888,7
41,0.0005503765,888888,7
42,0.0005503765,888888,7
43,0.0005498759,888888,7
44,0.0005498759,888888,7
45,0.0005498759,888888,7
46,0.0007167406,888888,7
47,0.0007167406,888888,7
48,0.0007167406,888888,7
49,0.0007594421,888888,7
50,0.0007594421,888888,7
51,0.0007594421,888888,7
52,0.0009890148,888888,7
53,0.0009890148,888888,7
54,0.0009890148,888888,7
55,0.001218854,888888,7
56,0.001218854,888888,7
57,0.001218854,888888,7
58,0.0012207755,888888,7
59,0.0012207755,888888,7
60,0.0012207755,888888,7
61,0.0012004619,888888,7
62,0.0011801494,888888,7
63,0.0011598359,888888,7
64,0.0011395233,888888,7
65,0.0011192108,888888,7
66,0.0010988972,888888,7
67,0.0010785847,888888,7
68,0.0010582721,888888,7
69,0.0010379586,888888,7
70,0.0010176461,888888,7
71,0.0009973325,888888,7
72,0.00097702,888888,7
73,0.0009567074,888888,7
74,0.0009363939,888888,7
75,0.0009160814,888888,7
76,0.0008957688,888888,7
77,0.0008754553,888888,7
78,0.0008551427,888888,7
79,0.0008348292,888888,7
80,0.0008145166,888888,7
81,0.0007942041,888888,7
82,0.0007738906,888888,7
83,0.000753578,888888,7
84,0.0007332655,888888,7
85,0.0007129519,888888,7
86,0.0006926394,888888,7
87,0.0006723259,888888,7
88,0.0006520133,888888,7
89,0.0006317008,888888,7
90,0.0006113872,888888,7
91,0.0005910747,888888,7
92,0.0005707621,888888,7
93,0.0005504486,888888,7
94,0.0005301361,888888,7
95,0.0005098225,888888,7
96,0.00048951,888888,7
97,0.0004691974,888888,7
98,0.0004488839,888888,7
99,0.0004285714,888888,7
100,0.0004082588,888888,7
101,0.0003879453,888888,7
102,0.0003676327,888888,7
103,0.0003473192,888888,7
104,0.0003270067,888888,7
105,0.0003066941,888888,7
106,0.0002863806,888888,7
107,0.000266068,888888,7
108,0.0002457555,888888,7
109,0.000225442,888888,7
110,0.0002051294,888888,7
111,0.0001848159,888888,7
112,0.0001645033,888888,7
113,0.0001441908,888888,7
114,0.0001238773,888888,7
115,0.0001035647,888888,7
116,8.3251664826E-05,888888,7
117,6.29387239348E-05,888888,7
118,4.26258817824E-05,888888,7
119,2.23129408912E-05,888888,7
120,0.000002,888888,7
121,0.000002,888888,7
122,0.000002,888888,7
123,0.000002,888888,7
124,0.000002,888888,7
125,0.000002,888888,7
126,0.000002,888888,7
127,0.000002,888888,7
128,0.000002,888888,7
129,0.000002,888888,7
130,0.000002,888888,7
131,0.000002,888888,7
132,0.000002,888888,7
133,0.000002,888888,7
134,0.000002,888888,7
135,0.000002,888888,7
136,0.000002,888888,7
137,0.000002,888888,7
138,0.000002,888888,7
139,0.000002,888888,7
140,0.000002,888888,7
141,0.000002,888888,7
142,0.000002,888888,7
143,0.000002,888888,7
144,0.000002,888888,7
145,0.000002,888888,7
146,0.000002,888888,7
147,0.000002,888888,7
148,0.000002,888888,7
149,0.000002,888888,7
150,0.000002,888888,7
151,0.000002,888888,7
152,0.000002,888888,7
153,0.000002,888888,7
154,0.000002,888888,7
155,0.000002,888888,7
156,0.000002,888888,7
157,0.000002,888888,7
158,0.000002,888888,7
159,0.000002,888888,7
160,0.000002,888888,7
161,0.000002,888888,7
162,0.000002,888888,7
163,0.000002,888888,7
164,0.000002,888888,7
165,0.000002,888888,7
166,0.000002,888888,7
167,0.000002,888888,7
168,0.000002,888888,7
169,0.000002,888888,7
170,0.000002,888888,7
171,0.000002,888888,7
172,0.000002,888888,7
173,0.000002,888888,7
174,0.000002,888888,7
175,0.000002,888888,7
176,0.000002,888888,7
177,0.000002,888888,7
178,0.000002,888888,7
179,0.000002,888888,7
180,0.000002,888888,7
181,0.000002,888888,7
182,0.000002,888888,7
183,0.000002,888888,7
184,0.000002,888888,7
185,0.000002,888888,7
186,0.000002,888888,7
187,0.000002,888888,7
188,0.000002,888888,7
189,0.000002,888888,7
190,0.000002,888888,7
191,0.000002,888888,7
192,0.000002,888888,7
193,0.000002,888888,7
194,0.000002,888888,7
195,0.000002,888888,7
196,0.000002,888888,7
197,0.000002,888888,7
198,0.000002,888888,7
199,0.000002,888888,7
200,0.000002,888888,7
201,0.000002,888888,7
202,0.000002,888888,7
203,0.000002,888888,7
204,0.000002,888888,7
205,0.000002,888888,7
206,0.000002,888888,7
207,0.000002,888888,7
208,0.000002,888888,7
209,0.000002,888888,7
210,0.000002,888888,7
211,0.000002,888888,7
212,0.000002,888888,7
213,0.000002,888888,7
214,0.000002,888888,7
215,0.000002,888888,7
216,0.000002,888888,7
217,0.000002,888888,7
218,0.000002,888888,7
219,0.000002,888888,7
220,0.000002,888888,7
221,0.000002,888888,7
222,0.000002,888888,7
223,0.000002,888888,7
224,0.000002,888888,7
225,0.000002,888888,7
226,0.000002,888888,7
227,0.000002,888888,7
228,0.000002,888888,7
229,0.000002,888888,7
230,0.000002,888888,7
231,0.000002,888888,7
232,0.000002,888888,7
233,0.000002,888888,7
234,0.000002,888888,7
235,0.000002,888888,7
236,0.000002,888888,7
237,0.000002,888888,7
238,0.000002,888888,7
239,0.000002,888888,7
240,0.000002,888888,7
241,0.000002,888888,7
242,0.000002,888888,7
243,0.000002,888888,7
244,0.000002,888888,7
245,0.000002,888888,7
246,0.000002,888888,7
247,0.000002,888888,7
248,0.000002,888888,7
249,0.000002,888888,7
250,0.000002,888888,7
251,0.000002,888888,7
252,0.000002,888888,7
253,0.000002,888888,7
254,0.000002,888888,7
255,0.000002,888888,7
256,0.000002,888888,7
257,0.000002,888888,7
258,0.000002,888888,7
259,0.000002,888888,7
260,0.000002,888888,7
261,0.000002,888888,7
262,0.000002,888888,7
263,0.000002,888888,7
264,0.000002,888888,7
265,0.000002,888888,7
266,0.000002,888888,7
267,0.000002,888888,7
268,0.000002,888888,7
269,0.000002,888888,7
270,0.000002,888888,7
271,0.000002,888888,7
272,0.000002,888888,7
273,0.000002,888888,7
274,0.000002,888888,7
275,0.000002,888888,7
276,0.000002,888888,7
277,0.000002,888888,7
278,0.000002,888888,7
279,0.000002,888888,7
280,0.000002,888888,7
281,0.000002,888888,7
282,0.000002,888888,7
283,0.000002,888888,7
284,0.000002,888888,7
285,0.000002,888888,7
286,0.000002,888888,7
287,0.000002,888888,7
288,0.000002,888888,7
289,0.000002,888888,7
290,0.000002,888888,7
291,0.000002,888888,7
292,0.000002,888888,7
293,0.000002,888888,7
294,0.000002,888888,7
295,0.000002,888888,7
296,0.000002,888888,7
297,0.000002,888888,7
298,0.000002,888888,7
299,0.000002,888888,7
300,0.000002,888888,7
301,0.000002,888888,7
302,0.000002,888888,7
303,0.000002,888888,7
304,0.000002,888888,7
305,0.000002,888888,7
306,0.000002,888888,7
307,0.000002,888888,7
308,0.000002,888888,7
309,0.000002,888888,7
310,0.000002,888888,7
311,0.000002,888888,7
312,0.000002,888888,7
313,0.000002,888888,7
314,0.000002,888888,7
315,0.000002,888888,7
316,0.000002,888888,7
317,0.000002,888888,7
318,0.000002,888888,7
319,0.000002,888888,7
320,0.000002,888888,7
321,0.000002,888888,7
322,0.000002,888888,7
323,0.000002,888888,7
324,0.000002,888888,7
325,0.000002,888888,7
326,0.000002,888888,7
327,0.000002,888888,7
328,0.000002,888888,7
329,0.000002,888888,7
330,0.000002,888888,7
331,0.000002,888888,7
332,0.000002,888888,7
333,0.000002,888888,7
334,0.000002,888888,7
335,0.000002,888888,7
336,0.000002,888888,7
337,0.000002,888888,7
338,0.000002,888888,7
339,0.000002,888888,7
340,0.000002,888888,7
341,0.000002,888888,7
342,0.000002,888888,7
343,0.000002,888888,7
344,0.000002,888888,7
345,0.000002,888888,7
346,0.000002,888888,7
347,0.000002,888888,7
348,0.000002,888888,7
349,0.000002,888888,7
350,0.000002,888888,7
351,0.000002,888888,7
352,0.000002,888888,7
353,0.000002,888888,7
354,0.000002,888888,7
355,0.000002,888888,7
356,0.000002,888888,7
357,0.000002,888888,7
358,0.000002,888888,7
359,0.000002,888888,7
360,0.000002,888888,7
361,0.000002,888888,7
362,0.000002,888888,7
363,0.000002,888888,7
364,0.000002,888888,7
365,0.000002,888888,7
366,0.000002,888888,7
367,0.000002,888888,7
368,0.000002,888888,7
369,0.000002,888888,7
370,0.000002,888888,7
371,0.000002,888888,7
372,0.000002,888888,7
373,0.000002,888888,7
374,0.000002,888888,7
375,0.000002,888888,7
376,0.000002,888888,7
377,0.000002,888888,7
378,0.000002,888888,7
379,0.000002,888888,7
380,0.000002,888888,7
381,0.000002,888888,7
382,0.000002,888888,7
383,0.000002,888888,7
384,0.000002,888888,7
385,0.000002,888888,7
386,0.000002,888888,7
387,0.000002,888888,7
388,0.000002,888888,7
389,0.000002,888888,7
390,0.000002,888888,7
391,0.000002,888888,7
392,0.000002,888888,7
393,0.000002,888888,7
394,0.000002,888888,7
395,0.000002,888888,7
396,0.000002,888888,7
397,0.000002,888888,7
398,0.000002,888888,7
399,0.000002,888888,7
400,0.000002,888888,7
401,0.000002,888888,7
402,0.000002,888888,7
403,0.000002,888888,7
404,0.000002,888888,7
405,0.000002,888888,7
406,0.000002,888888,7
407,0.000002,888888,7
408,0.000002,888888,7
409,0.000002,888888,7
410,0.000002,888888,7
411,0.000002,888888,7
412,0.000002,888888,7
413,0.000002,888888,7
414,0.000002,888888,7
415,0.000002,888888,7
416,0.000002,888888,7
417,0.000002,888888,7
418,0.000002,888888,7
419,0.000002,888888,7
420,0.000002,888888,7
421,0.000002,888888,7
422,0.000002,888888,7
423,0.000002,888888,7
424,0.000002,888888,7
425,0.000002,888888,7
426,0.000002,888888,7
427,0.000002,888888,7
428,0.000002,888888,7
429,0.000002,888888,7
430,0.000002,888888,7
431,0.000002,888888,7
432,0.000002,888888,7
433,0.000002,888888,7
434,0.000002,888888,7
435,0.000002,888888,7
436,0.000002,888888,7
437,0.000002,888888,7
438,0.000002,888888,7
439,0.000002,888888,7
440,0.000002,888888,7
441,0.000002,888888,7
442,0.000002,888888,7
443,0.000002,888888,7
444,0.000002,888888,7
445,0.000002,888888,7
446,0.000002,888888,7
447,0.000002,888888,7
448,0.000002,888888,7
449,0.000002,888888,7
450,0.000002,888888,7
451,0.000002,888888,7
452,0.000002,888888,7
453,0.000002,888888,7
454,0.000002,888888,7
455,0.000002,888888,7
456,0.000002,888888,7
457,0.000002,888888,7
458,0.000002,888888,7
459,0.000002,888888,7
460,0.000002,888888,7
461,0.000002,888888,7
462,0.000002,888888,7
463,0.000002,888888,7
464,0.000002,888888,7
465,0.000002,888888,7
466,0.000002,888888,7
467,0.000002,888888,7
468,0.000002,888888,7
469,0.000002,888888,7
470,0.000002,888888,7
471,0.000002,888888,7
472,0.000002,888888,7
473,0.000002,888888,7
474,0.000002,888888,7
475,0.000002,888888,7
476,0.000002,888888,7
477,0.000002,888888,7
478,0.000002,888888,7
479,0.000002,888888,7
480,0.000002,888888,7
481,0.000002,888888,7
1,8.72774431796E-05,888888,6
2,8.72774431796E-05,888888,6
3,8.72774431796E-05,888888,6
4,0.0001611008,888888,6
5,0.0001611008,888888,6
6,0.0001611008,888888,6
7,0.0001158468,888888,6
8,0.0001158468,888888,6
9,0.0001158468,888888,6
10,0.000199681,888888,6
11,0.000199681,888888,6
12,0.000199681,888888,6
13,0.0005617483,888888,6
14,0.0005617483,888888,6
15,0.0005617483,888888,6
16,0.0003785118,888888,6
17,0.0003785118,888888,6
18,0.0003785118,888888,6
19,0.0004428381,888888,6
20,0.0004428381,888888,6
21,0.0004428381,888888,6
22,0.0003232171,888888,6
23,0.0003232171,888888,6
24,0.0003232171,888888,6
25,0.0021861013,888888,6
26,0.0021861013,888888,6
27,0.0021861013,888888,6
28,0.0021303326,888888,6
29,0.0021303326,888888,6
30,0.0021303326,888888,6
31,0.0004716215,888888,6
32,0.0004716215,888888,6
33,0.0004716215,888888,6
34,0.0009663453,888888,6
35,0.0009663453,888888,6
36,0.0009663453,888888,6
37,0.0004914058,888888,6
38,0.0004914058,888888,6
39,0.0004914058,888888,6
40,0.0004083615,888888,6
41,0.0004083615,888888,6
42,0.0004083615,888888,6
43,0.0004133024,888888,6
44,0.0004133024,888888,6
45,0.0004133024,888888,6
46,0.0005114853,888888,6
47,0.0005114853,888888,6
48,0.0005114853,888888,6
49,0.0005511368,888888,6
50,0.0005511368,888888,6
51,0.0005511368,888888,6
52,0.0007294305,888888,6
53,0.0007294305,888888,6
54,0.0007294305,888888,6
55,0.000922452,888888,6
56,0.000922452,888888,6
57,0.000922452,888888,6
58,0.0011241289,888888,6
59,0.0011241289,888888,6
60,0.0011241289,888888,6
61,0.0011054268,888888,6
62,0.0010867237,888888,6
63,0.0010680216,888888,6
64,0.0010493195,888888,6
65,0.0010306174,888888,6
66,0.0010119153,888888,6
67,0.0009932131,888888,6
68,0.000974511,888888,6
69,0.0009558089,888888,6
70,0.0009371068,888888,6
71,0.0009184047,888888,6
72,0.0008997026,888888,6
73,0.0008810004,888888,6
74,0.0008622983,888888,6
75,0.0008435962,888888,6
76,0.0008248941,888888,6
77,0.000806192,888888,6
78,0.0007874899,888888,6
79,0.0007687877,888888,6
80,0.0007500856,888888,6
81,0.0007313835,888888,6
82,0.0007126814,888888,6
83,0.0006939793,888888,6
84,0.0006752772,888888,6
85,0.0006565751,888888,6
86,0.0006378729,888888,6
87,0.0006191708,888888,6
88,0.0006004687,888888,6
89,0.0005817666,888888,6
90,0.0005630645,888888,6
91,0.0005443624,888888,6
92,0.0005256602,888888,6
93,0.0005069581,888888,6
94,0.000488256,888888,6
95,0.0004695539,888888,6
96,0.0004508518,888888,6
97,0.0004321497,888888,6
98,0.0004134475,888888,6
99,0.0003947454,888888,6
100,0.0003760433,888888,6
101,0.0003573402,888888,6
102,0.0003386381,888888,6
103,0.000319936,888888,6
104,0.0003012339,888888,6
105,0.0002825317,888888,6
106,0.0002638296,888888,6
107,0.0002451275,888888,6
108,0.0002264254,888888,6
109,0.0002077233,888888,6
110,0.0001890212,888888,6
111,0.000170319,888888,6
112,0.0001516169,888888,6
113,0.0001329148,888888,6
114,0.0001142127,888888,6
115,9.55106792788E-05,888888,6
116,7.68085631708E-05,888888,6
117,5.81064470628E-05,888888,6
118,3.94043309548E-05,888888,6
119,2.0702116108E-05,888888,6
120,0.000002,888888,6
121,0.000002,888888,6
122,0.000002,888888,6
123,0.000002,888888,6
124,0.000002,888888,6
125,0.000002,888888,6
126,0.000002,888888,6
127,0.000002,888888,6
128,0.000002,888888,6
129,0.000002,888888,6
130,0.000002,888888,6
131,0.000002,888888,6
132,0.000002,888888,6
133,0.000002,888888,6
134,0.000002,888888,6
135,0.000002,888888,6
136,0.000002,888888,6
137,0.000002,888888,6
